name
anki
ansible
cmake
coreutils
cpupower
cronie
cryptsetup
device-mapper
dhclient
dhcpcd
dialog
diffutils
dmidecode
dmraid
dnsmasq
docker
docker-compose
dosfstools
dunst
e2fsprogs
ecryptfs-utils
efibootmgr
engrampa
exfat-utils
exo
f2fs-tools
fakeroot
ffmpeg
ffmpegthumbnailer
firefox
flex
freetype2
fzf
galculator
garcon
gcc
gcolor2
ghc-libs
gimp
github-cli
glibc-locales
gnome-icon-theme
gnome-keyring
gnome-themes-extra
gparted
grub
grub-btrfs
grub-theme-manjaro
gst-libav
gst-plugins-bad
gst-plugins-base
gst-plugins-good
gst-plugins-ugly
gtk-theme-arc-gruvbox-git
gtkhash-thunar
gufw
gvfs
gvfs-afc
gvfs-gphoto2
gvfs-mtp
gvfs-nfs
gvfs-smb
gvim
haveged
hexchat
highlight
hostapd
hslua-cli
htop
inetutils
intel-compute-runtime
intel-opencl-runtime
intel-ucode
inxi
jfsutils
kicad
less
lf-git
lib32-libva-intel-driver
lib32-libva-mesa-driver
lib32-libva-vdpau-driver
lib32-mesa-demos
lib32-mesa-vdpau
lib32-vulkan-intel
lib32-vulkan-radeon
libdvdcss
libgsf
libopenraw
libpamac-flatpak-plugin
libpamac-snap-plugin
libreoffice-fresh
libva-intel-driver
libva-mesa-driver
libva-vdpau-driver
libxft-bgra-git
light-locker
lightdm
lightdm-gtk-greeter
lightdm-gtk-greeter-settings
linux-wifi-hotspot
linux515
logrotate
lua-lpeg
lvm2
lynx
m4
maim
make
man-db
man-pages
manjaro-alsa
manjaro-application-utility
manjaro-browser-settings
manjaro-documentation-en
manjaro-firmware
manjaro-hello
manjaro-hotfixes
manjaro-printer
manjaro-pulse
manjaro-release
manjaro-settings-manager
manjaro-settings-manager-notifier
manjaro-system
manjaro-wallpapers-18.0
manjaro-xfce-settings
manjaro-zsh-config
mariadb
matcha-gtk-theme
mc
mdadm
mediainfo
memtest86+
menulibre
mesa-demos
mesa-utils
mesa-vdpau
mhwd
mhwd-db
mkinitcpio-openswap
mlocate
